index,premise,hypothesis,original_index
1310,Three people are shoveling sand.,A cat is sitting on top of a jeep.,4048
1311,A blond boy with a navy blue uniform kicks a soccer ball in an open field.,The field is packed with people,4049
1312,Looks like a girl wearing a white shirt and white shorts doing a flip in midair.,A naked girl is showing off her body.,4059
1313,A man in a black shirt and blue jeans stands in front of a shop window next to a open cellar.,two ladies explore a haunted cellar,4062
1314,Two Vancouver policemen riding bikes on a busy street.,Two policemen are walking indoors,4064
1315,"A woman in a cowboy hat walks followed by a man in a blue baseball cap, a boy in a blue t-short and a woman in a green top.",A woman in a hat is sitting alone in a park.,4068
1316,Two men are taking pictures while standing beside an automobile.,Two men driving cars next to each other.,4072
1317,A person dressed in a red hoodie sitting on a bench with their head down and hand over their face.,A person in a black hoodie is chasing a dog down the street.,4075
1318,A child sleeping in peace.,A child is eating bacon.,4078
1319,"A large, golden colored dog is walking through water.",A dog is laying on the back porch.,4079
1320,"While seated outdoors, a man wearing a harlequin shirt and jeans puts white makeup around his eyes.",The man is sitting in his living room.,4082
1321,A white woman is giving a speech under a tent.,A black man giving a speech.,4083
1322,A short-haired woman speaks passionately to a group of younger women wearing traditional Indian dress.,A long-haired woman speaks dismissively about younger women's hip clothing.,4085
1323,A man examines eyepieces with another man and an amused child.,Three elderly women are examining eyepieces.,4086
1324,Outside there are people and traffic by the corner.,The streets are deserted.,4090
1325,People shaping pieces of stone into bricks.,A group of people throw bricks at each other.,4092
1326,Three people are climbing rocks near a small waterfall.,Nobody is climbing.,4098
1327,People waiting in line for their favorite beverage.,People are waiting for hot food.,4102
1328,A group of people running on a beach at dawn.,Running on the beach at midnight.,4103
1329,A young boy wearing rubber boots dark shorts and a checkered shirt is lying down sleeping on stacks of yellow metal guard rails.,A boy wearing sandals sleeps on a stack of guard rails.,4107
1330,A person in bed reads People Magazine.,The person is on the couch.,4108
1331,A child is performing a skateboard trick while another child with a skateboard leans on a wall.,Two girls are playing with dolls inside.,4111
1332,Toddler standing near a pole with an orange life jacket at his feet.,A grown man wades into some water.,4114
1333,A man in a gray shirt climbs a large rock wall.,A man in a gray shirt is sitting on a couch in a room.,4118
1334,A bunch of people outdoors and some of them are wearing hard hats.,There are people working inside a warehouse.,4121
1335,Two musicians are playing music in a barn.,Three musicians are playing music in a barn.,4122
1336,A man is holding onto handles in the air.,The man is a paraplegic.,4123
1337,two men cleaning the outside windows of a yacht,Two men are cleaning the windows of a skyscraper.,4125
1338,A child holding some shoes.,The child is tying the shoelaces on his shoes.,4130
1339,The number five is painted on the steps.,A sidewalk runs directly up to the front door of a house.,4132
1340,Person wearing a yellow helmet is riding a dirt bike with a crowd watching.,The person's helmet is blue,4139
1341,A dog playing outside in the grass.,a dog is sleeping inside the garage,4142
1342,A person with a helmet is jumping a bike over something in a wooded area.,The person is wearing a fedora.,4145
1343,A basketball player hanging in the hoop is attempting to high-five the referee.,The basketball player is sitting on the bench.,4147
1344,Woman in black dress holds a piece of paper in her hands as she talks into a microphone.,woman is making a grilled cheese,4149
1345,Man taking his board out for a walk,The man stays inside and watches TV.,4152
1346,Three people are looking at sculptures made of rocks located on a body of water.,Three people looking at the sky.,4154
1347,Policemen are gathered around a glass building.,Policemen running down a track.,4155
1348,A man on a thatched-roof boat with an oar in the back is busy as the boat sits on bluish-green water.,The man is on solid land.,4163
1349,Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,Two people sit on a closed gate.,4166
1350,A man wearing a reflective vest and a hard hat holds a flag in the road,A cat chases a mouse.,4169
1351,A young girl is inspecting a flower outside.,The older lady is planting a garden.,4171
1352,A person is walking while carrying two objects.,The man is laying on the couch asleep.,4174
1353,"A man is running in snowshoes across a snow covered field, with mountains in the background.",The man is ice skating.,4177
1354,The man in the striped apron is dancing with the woman in the polka dotted apron.,no one is in a room filled with cotton candy,4178
1355,A man in a green shirt is doing a trick on a skateboard.,The man is sitting on a bench in the park.,4180
1356,a blond child is sleeping in a stroller.,The blond child is awake.,4182
1357,Woman in white shirt and blue track pants raking leaves.,A woman pulls weeds.,4185
1358,Two women in a crowd are smiling together.,The women are alone sitting in the park.,4190
1359,Two older men and a young woman sit on a bench with a triangle and two half spheres making up the top of the bench.,Some people stand near a road.,4192
1360,Several Asians eat food outdoors.,The people are sleeping.,4193
1361,"A goal has just been scored in a soccer game between two teams, one wearing red and the other wearing yellow.",The teams are playing field hockey.,4196
1362,A black and white dog is walking with a blue Frisbee in its mouth.,a cat playing with yarn,4205
1363,A man wearing a green shirt and carrying a shopping bag is reading the newspaper on a city corner while a woman looks on.,A man is telling a joke to a woman at their dinner table.,4211
1364,A pitcher is getting ready to throw a ball during a baseball game.,A man plays baseball on his video game system,4214
1365,A young boy in a gray beanie is flipping a skateboard off of a curb in an area with graffited walls.,A young boy in a gray beanie is flipping a spaceship off of a curb.,4215
1366,"At some sort of large gathering, a group of men who appear to be chefs stand in a circle sharing some kind of food.",The chefs are sitting down in a circle protesting the fact that they have to share food with everyone,4221
1367,Tourists entering a building in a foreign country.,Some people eating food in a field.,4224
1368,A man wearing a green jacket and hat is snowboarding.,A lady skis.,4225
1369,Group of children surround and pet white dog with blue collar on grass.,The children are sitting on a school bus.,4229
